Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-11-13,90.699997,91.589996,90.650002,91.43,79.624344,4316000,1544
2019-11-14,91.599998,92.160004,91.5,92.139999,80.242683,5136200,1545
2019-11-15,92.290001,92.669998,92.050003,92.639999,80.678123,2785200,1546
2019-11-18,92.769997,93.5,92.709999,93.089996,81.070007,3251900,1547
2019-11-19,93.339996,93.519997,93,93.25,81.209366,4065100,1548
2019-11-20,93.32,93.480003,92.790001,93.199997,81.165802,5698800,1549
2019-11-21,92.949997,93.010002,91.860001,91.889999,80.024956,5002900,1550
2019-11-22,92.059998,92.129997,91.050003,91.550003,79.728859,5112000,1551
2019-11-25,91.739998,92.370003,91.739998,91.839996,79.981407,5183500,1552
2019-11-26,92.040001,93.110001,91.949997,93.059998,81.043892,4858500,1553
2019-11-27,93.059998,93.550003,92.779999,93.5,81.427071,4121600,1554
2019-11-29,93.5,93.849998,93.029999,93.07,81.052605,3531100,1555
2019-12-02,92.699997,93.019997,91.610001,91.660004,79.824669,9430800,1556
2019-12-03,91.620003,92.370003,91.540001,92.25,80.33847,4762900,1557
2019-12-04,92.07,92.970001,91.970001,92.629997,80.669403,4129800,1558
2019-12-05,92.610001,92.720001,92.160004,92.68,80.712959,4846800,1559
2019-12-06,92.650002,93.370003,92.650002,92.870003,80.878426,4486000,1560
2019-12-09,93,93.220001,92.610001,93.050003,81.035164,3961000,1561
2019-12-10,93.080002,93.279999,92.300003,92.510002,80.564911,5227100,1562
2019-12-11,92.580002,92.610001,91.290001,91.57,79.746269,5112100,1563
2019-12-12,91.580002,91.910004,90.199997,90.330002,78.666405,7923900,1564
2019-12-13,90.370003,90.800003,89.68,90.349998,78.6838,6814200,1565
2019-12-16,90.610001,91.199997,89.980003,91,79.249886,5185200,1566
2019-12-17,91.279999,91.32,89.989998,90.139999,78.500923,9649900,1567
2019-12-18,89.220001,90.519997,89.220001,90.269997,79.457733,6340700,1568
2019-12-19,90.230003,91.120003,90.129997,91.07,80.161911,6117400,1569
2019-12-20,91.32,91.970001,91.25,91.57,80.602013,9514600,1570
2019-12-23,92.050003,92.050003,91.019997,91.110001,80.197113,5369100,1571
2019-12-24,91.330002,91.510002,91,91.349998,80.408371,1962000,1572
2019-12-26,91.419998,91.769997,91.290001,91.75,80.76046,2243900,1573
2019-12-27,91.959999,92.18,91.699997,92.040001,81.015724,4195900,1574
2019-12-30,91.889999,92.209999,91.620003,92.129997,81.09494,3466500,1575
2019-12-31,92.089996,92.830002,92,92.790001,81.675873,4649500,1576
2020-01-02,93.190002,93.239998,91.099998,91.699997,80.716454,5106600,1577
2020-01-03,91.239998,92.459999,91.029999,92.269997,81.21817,5015500,1578
2020-01-06,92.169998,92.709999,91.870003,92.379997,81.314995,4889000,1579
2020-01-07,92.18,92.18,90.849998,91.349998,80.408371,6529100,1580
2020-01-08,91.389999,91.809998,91.059998,91.629997,80.654823,6766100,1581
2020-01-09,91.610001,91.870003,91.360001,91.580002,80.610809,4213800,1582
2020-01-10,91.779999,92.389999,91.529999,92.279999,81.22699,5838800,1583
2020-01-13,92.370003,93.400002,92.339996,93.389999,82.204025,5552600,1584
2020-01-14,93.300003,93.349998,92.519997,93.040001,81.89595,4120700,1585
2020-01-15,93.309998,94.080002,93.269997,93.879997,82.635338,4471500,1586
2020-01-16,94.029999,94.629997,93.870003,94.629997,83.295494,4426700,1587
2020-01-17,94.580002,95.029999,94.519997,94.720001,83.374702,3581300,1588
2020-01-21,94.839996,95.690002,94.589996,95.620003,84.166924,4217400,1589
2020-01-22,95.849998,96.150002,94.82,94.980003,83.603577,5024300,1590
2020-01-23,95.089996,95.82,94.690002,95.779999,84.307762,4825000,1591
